nome do arquivo,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao,P1,P2,P3,K1,K2,K3,S1,S2,S3
Nome:_SOBRAL_Codigo_Estacao:_82392,SOBRAL,82392,-3.74833333,-40.34583333,91.8,Fechada,2000-01-01,2020-08-30,Mensal,-0.4097471028422962,-0.49092521887931495,0.1968805550335624,-0.2424242424242424,-0.303030303030303,-0.2121212121212121,-0.36363636363636365,-0.3776223776223776,-0.20279720279720279
Nome:_TAUA_Codigo_Estacao:_82683,TAUA,82683,-6.00638888,-40.29972221,401.89,Fechada,2000-01-01,2021-07-31,Mensal,-0.5614530169821834,0.6904940086624772,-0.46471478556052986,-0.3636363636363636,0.5757575757575757,-0.3636363636363636,-0.5104895104895105,0.7132867132867133,-0.5314685314685315
Nome:_VICOSA_DO_CEARA_Codigo_Estacao:_82390,VICOSA DO CEARA,82390,-3.62,-41.07,719.0,Desativada,2000-01-01,2024-06-01,Mensal,,,,,,,,,
Nome:_ALTO_PARNAIBA_Codigo_Estacao:_82970,ALTO PARNAIBA,82970,-9.10833333,-45.9486111,285.05,Fechada,2000-01-01,2021-07-24,Mensal,-0.9320224957909328,0.8563602326692131,-0.8326058108293011,-0.6363636363636362,0.5757575757575757,-0.7575757575757575,-0.7972027972027972,0.7762237762237763,-0.8671328671328671
Nome:_BACABAL_Codigo_Estacao:_82460,BACABAL,82460,-4.21805554,-44.77583332,26.6,Operante,2000-01-01,2024-06-01,Mensal,-0.8997643407778548,-0.682139417310217,0.4742040748115181,-0.7272727272727272,-0.6363636363636362,0.4242424242424242,-0.9020979020979021,-0.8041958041958042,0.5804195804195804
Nome:_BALSAS_Codigo_Estacao:_82768,BALSAS,82768,-7.52944443,-46.04638888,263.48,Temporariamente Fechada,2000-01-01,2024-06-01,Mensal,-0.8401199906022596,0.09470512978096253,-0.11799596653890558,-0.5151515151515151,0.0,-0.1212121212121212,-0.7202797202797203,0.03496503496503497,-0.07692307692307693
Nome:_BARRA_DO_CORDA_Codigo_Estacao:_82571,BARRA DO CORDA,82571,-5.50638888,-45.23722221,154.17,Operante,2000-01-01,2024-06-01,Mensal,-0.9173539067718971,-0.9090275579571816,0.8131724457215955,-0.8787878787878787,-0.8397191227596315,0.7175781594491396,-0.965034965034965,-0.9422080999150757,0.8581449237144742
Nome:_CAROLINA_Codigo_Estacao:_82765,CAROLINA,82765,-7.33722221,-47.45972222,182.94,Operante,2000-01-01,2024-06-01,Mensal,-0.9282581338528704,-0.8318909316243138,0.7930314302212106,-0.7878787878787877,-0.5454545454545454,0.5151515151515151,-0.9230769230769231,-0.7342657342657343,0.6993006993006993
Nome:_CAXIAS_Codigo_Estacao:_82476,CAXIAS,82476,-4.86722221,-43.35666666,96.67,Fechada,2000-01-01,2022-08-30,Mensal,-0.5510934607688985,0.04133460481059303,0.5205610233719932,-0.3333333333333333,0.0,0.3636363636363636,-0.5244755244755245,0.04195804195804196,0.5034965034965035
Nome:_CHAPADINHA_Codigo_Estacao:_82382,CHAPADINHA,82382,-3.74277777,-43.35222222,104.0,Operante,2000-01-01,2024-06-01,Mensal,-0.3631150109172188,0.015597282825985544,-0.727720679828631,-0.1515151515151515,-0.1212121212121212,-0.606060606060606,-0.2727272727272727,-0.14685314685314685,-0.7412587412587412
